Date,GEO,Vehicle_type,O_Manu,Sales_dollars,Sales_units
2019-12,Newfoundland  & Labrador,Passenger cars,North America,3639,140
2019-12,Newfoundland  & Labrador,Passenger cars,Total overseas,2584,75
2019-12,Newfoundland  & Labrador,Passenger cars,Japan,0,0
2019-12,Newfoundland  & Labrador,Passenger cars,Other countries,0,0
2019-12,Newfoundland  & Labrador,Trucks,North America,43738,945
2019-12,Newfoundland  & Labrador,Trucks,Total overseas,7809,219
2019-12,Prince Edward Island,Passenger cars,North America,1790,70
2019-12,Prince Edward Island,Passenger cars,Total overseas,629,23
2019-12,Prince Edward Island,Passenger cars,Japan,0,0
2019-12,Prince Edward Island,Passenger cars,Other countries,0,0
2019-12,Prince Edward Island,Trucks,North America,13310,303
2019-12,Prince Edward Island,Trucks,Total overseas,2745,78
2019-12,Nova Scotia,Passenger cars,North America,9644,339
2019-12,Nova Scotia,Passenger cars,Total overseas,6909,192
2019-12,Nova Scotia,Passenger cars,Japan,1379,45
2019-12,Nova Scotia,Passenger cars,Other countries,5531,147
2019-12,Nova Scotia,Trucks,North America,71615,1550
2019-12,Nova Scotia,Trucks,Total overseas,19501,515
2019-12,New Brunswick,Passenger cars,North America,5895,221
2019-12,New Brunswick,Passenger cars,Total overseas,4474,128
2019-12,New Brunswick,Passenger cars,Japan,1426,48
2019-12,New Brunswick,Passenger cars,Other countries,3048,80
2019-12,New Brunswick,Trucks,North America,68903,1384
2019-12,New Brunswick,Trucks,Total overseas,14601,395
2019-12,Quebec,Passenger cars,North America,94067,3334
2019-12,Quebec,Passenger cars,Total overseas,103881,2637
2019-12,Quebec,Passenger cars,Japan,21475,691
2019-12,Quebec,Passenger cars,Other countries,82406,1946
2019-12,Quebec,Trucks,North America,650969,12156
2019-12,Quebec,Trucks,Total overseas,203132,5114
2019-12,Ontario,Passenger cars,North America,205529,6807
2019-12,Ontario,Passenger cars,Total overseas,179768,4093
2019-12,Ontario,Passenger cars,Japan,34050,1049
2019-12,Ontario,Passenger cars,Other countries,145718,3044
2019-12,Ontario,Trucks,North America,1538468,31583
2019-12,Ontario,Trucks,Total overseas,374253,8494
2019-12,Manitoba,Passenger cars,North America,8058,275
2019-12,Manitoba,Passenger cars,Total overseas,7273,175
2019-12,Manitoba,Passenger cars,Japan,1421,44
2019-12,Manitoba,Passenger cars,Other countries,5852,131
2019-12,Manitoba,Trucks,North America,128433,2490
2019-12,Manitoba,Trucks,Total overseas,18361,448
2019-12,Saskatchewan,Passenger cars,North America,5604,184
2019-12,Saskatchewan,Passenger cars,Total overseas,5792,129
2019-12,Saskatchewan,Passenger cars,Japan,1148,36
2019-12,Saskatchewan,Passenger cars,Other countries,4644,93
2019-12,Saskatchewan,Trucks,North America,130734,2455
2019-12,Saskatchewan,Trucks,Total overseas,13463,311
2019-12,Alberta,Passenger cars,North America,28601,860
2019-12,Alberta,Passenger cars,Total overseas,25063,548
2019-12,Alberta,Passenger cars,Japan,4913,160
2019-12,Alberta,Passenger cars,Other countries,20150,388
