REF_DATE,GEO,Vehicle type,Origin of manufacture, Sales in dollars ,Sales in units
2019-12,Newfoundland and Labrador,Passenger cars,North America,3639.00,140
2019-12,Newfoundland and Labrador,Passenger cars,Total overseas,2584.00,75
2019-12,Newfoundland and Labrador,Passenger cars,Japan,0.00,0
2019-12,Newfoundland and Labrador,Passenger cars,Other countries,0.00,0
2019-12,Newfoundland and Labrador,Trucks,North America,43738.00,945
2019-12,Newfoundland and Labrador,Trucks,Total overseas,7809.00,219
2019-12,Prince Edward Island,Passenger cars,North America,1790.00,70
2019-12,Prince Edward Island,Passenger cars,Total overseas,629.00,23
2019-12,Prince Edward Island,Passenger cars,Japan,0.00,0
2019-12,Prince Edward Island,Passenger cars,Other countries,0.00,0
2019-12,Prince Edward Island,Trucks,North America,13310.00,303
2019-12,Prince Edward Island,Trucks,Total overseas,2745.00,78
2019-12,Nova Scotia,Passenger cars,North America,9644.00,339
2019-12,Nova Scotia,Passenger cars,Total overseas,6909.00,192
2019-12,Nova Scotia,Passenger cars,Japan,1379.00,45
2019-12,Nova Scotia,Passenger cars,Other countries,5531.00,147
2019-12,Nova Scotia,Trucks,North America,71615.00,1550
2019-12,Nova Scotia,Trucks,Total overseas,19501.00,515
2019-12,New Brunswick,Passenger cars,North America,5895.00,221
2019-12,New Brunswick,Passenger cars,Total overseas,4474.00,128
2019-12,New Brunswick,Passenger cars,Japan,1426.00,48
2019-12,New Brunswick,Passenger cars,Other countries,3048.00,80
2019-12,New Brunswick,Trucks,North America,68903.00,1384
2019-12,New Brunswick,Trucks,Total overseas,14601.00,395
2019-12,Quebec,Passenger cars,North America,94067.00,3334
2019-12,Quebec,Passenger cars,Total overseas,103881.00,2637
2019-12,Quebec,Passenger cars,Japan,21475.00,691
2019-12,Quebec,Passenger cars,Other countries,82406.00,1946
2019-12,Quebec,Trucks,North America,650969.00,12156
2019-12,Quebec,Trucks,Total overseas,203132.00,5114
2019-12,Ontario,Passenger cars,North America,205529.00,6807
2019-12,Ontario,Passenger cars,Total overseas,179768.00,4093
2019-12,Ontario,Passenger cars,Japan,34050.00,1049
2019-12,Ontario,Passenger cars,Other countries,145718.00,3044
2019-12,Ontario,Trucks,North America,1538468.00,31583
2019-12,Ontario,Trucks,Total overseas,374253.00,8494
2019-12,Manitoba,Passenger cars,North America,8058.00,275
2019-12,Manitoba,Passenger cars,Total overseas,7273.00,175
2019-12,Manitoba,Passenger cars,Japan,1421.00,44
2019-12,Manitoba,Passenger cars,Other countries,5852.00,131
2019-12,Manitoba,Trucks,North America,128433.00,2490
2019-12,Manitoba,Trucks,Total overseas,18361.00,448
2019-12,Saskatchewan,Passenger cars,North America,5604.00,184
2019-12,Saskatchewan,Passenger cars,Total overseas,5792.00,129
2019-12,Saskatchewan,Passenger cars,Japan,1148.00,36
2019-12,Saskatchewan,Passenger cars,Other countries,4644.00,93
2019-12,Saskatchewan,Trucks,North America,130734.00,2455
2019-12,Saskatchewan,Trucks,Total overseas,13463.00,311
2019-12,Alberta,Passenger cars,North America,28601.00,860
2019-12,Alberta,Passenger cars,Total overseas,25063.00,548
2019-12,Alberta,Passenger cars,Japan,4913.00,160
2019-12,Alberta,Passenger cars,Other countries,20150.00,388
